license_id,source_system,callsign,facility_id,frn,lic_name,common_name,radio_service_code,radio_service_desc,rollup_category_code,rollup_category_desc,grant_date,expired_date,cancellation_date,last_action_date,lic_status_code,lic_status_desc,rollup_status_code,rollup_status_desc,entity_type_code,entity_type_desc,rollup_entity_code,rollup_entity_desc,lic_address,lic_city,lic_state,lic_zip_code,lic_attention_line,contact_company,contact_name,contact_title,contact_address1,contact_address2,contact_city,contact_state,contact_zip,contact_country,contact_phone,contact_fax,contact_email,market_code,market_desc,channel_block,loc_type_code,loc_type_desc,loc_city,loc_county_code,loc_county_name,loc_state,loc_radius_op,loc_seq_id,loc_lat_deg,loc_lat_min,loc_lat_sec,loc_lat_dir,loc_long_deg,loc_long_min,loc_long_sec,loc_long_dir,hgt_structure,asr_num,antenna_id,ant_seq_id,ant_make,ant_model,ant_type_code,ant_type_desc,azimuth,beamwidth,polarization_code,frequency_id,freq_seq_id,freq_class_station_code,freq_class_station_desc,power_erp,power_output,frequency_assigned,frequency_upper_band,unit_of_measure,tolerance,emission_id,emission_seq_id,emission_code,ground_elevation,lat,long,geom
3000062434,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2014-08-29,2014-08-29,,2014-08-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,105410,32,22,0,N,84,48,20,W,,,3000105410,105410,,,Y,Directional,,,,3000450678,450678,MO,,39.811,,746,756,MHz.,1e-05,3000727642,727642,10M0W7W,,,-84.805555556,
3000072700,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-09-01,2016-06-07,,2016-06-07,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",Richard Aronson,11840 West Market Place,Fulton,MD,20759,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134666,32,22,0,N,84,48,20,W,,,3000134666,134666,,,Y,Directional,,,,3000555034,555034,MO,,5.012,,746,756,MHz.,1e-05,3000904013,904013,10M0W7W,,,-84.805555556,
3000072600,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-06-16,2016-06-16,,2016-06-16,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134388,32,22,0,N,84,48,20,W,,,3000134388,134388,,,Y,Directional,,,,3000554453,554453,MO,,5.012,,734,746,MHz.,1e-05,3000902742,902742,10M0W7W,,,-84.805555556,
3000090781,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2019-03-01,2024-03-01,,2019-04-01,G,Unknown,A,Active,C,Corporation,B,Business,"Avraham Abasov, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Emily Casto,Mechanical Engineer,Avraham Abasov,8955 Henkels Ln,Annapolis Junction,MD,20701,XX,,,,,,,,,Tucson,PIMA,PIMA,AZ,,183594,32,10,0,N,110,54,52,W,,,3000183594,183594,,,N,Non-Directional,,,,3000734802,734802,FX,,384.7,,10250,10500,MHz.,0.005,3001220077,1220077,50M0F3N,,,-110.914444444,
3000066241,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2015-05-29,2015-05-29,,2015-05-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Tucson,PIMA,PIMA,AZ,,115935,32,10,0,N,110,54,52,W,,,3000115935,115935,,,N,Non-Directional,,,,3000487330,487330,FX,,384.7,,10250,10500,MHz.,0.005,3000794939,794939,50M0F3N,,,-110.914444444,
3000072600,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-06-16,2016-06-16,,2016-06-16,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134388,32,22,0,N,84,48,20,W,,,3000134388,134388,,,Y,Directional,,,,3000554457,554457,MO,,39.811,,746,756,MHz.,1e-05,3000902746,902746,10M0W7W,,,-84.805555556,
3000088582,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2018-12-18,2018-12-18,,2018-12-18,E,Unknown,E,Expired,C,Corporation,B,Business,"Emily Casto, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Emily Casto,Mechanical Engineer,,,,,,XX,,,,,,,,,Tucson,PIMA,PIMA,AZ,,177515,32,10,0,N,110,54,52,W,,,3000177515,177515,,,N,Non-Directional,,,,3000712841,712841,FX,,384.7,,10250,10500,MHz.,0.005,3001182878,1182878,50M0F3N,,,-110.914444444,
3000072700,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-09-01,2016-06-07,,2016-06-07,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",Richard Aronson,11840 West Market Place,Fulton,MD,20759,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134666,32,22,0,N,84,48,20,W,,,3000134666,134666,,,Y,Directional,,,,3000555031,555031,MO,,5.012,,734,746,MHz.,1e-05,3000904010,904010,10M0W7W,,,-84.805555556,
3000072600,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-06-16,2016-06-16,,2016-06-16,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134388,32,22,0,N,84,48,20,W,,,3000134388,134388,,,Y,Directional,,,,3000554455,554455,MO,,1,,777,787,MHz.,1e-05,3000902744,902744,10M0W7W,,,-84.805555556,
3000082741,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2018-02-07,2018-02-07,,2018-02-07,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Tucson,PIMA,PIMA,AZ,,162423,32,10,0,N,110,54,52,W,,,3000162423,162423,,,N,Non-Directional,,,,3000656117,656117,FX,,384.7,,10250,10500,MHz.,0.005,3001090976,1090976,50M0F3N,,,-110.914444444,
